Ticker,GICS_Sector,GICS_Industry
PENG,Technology,Information Technology Services
PEP,Consumer Defensive,Beverages - Non-Alcoholic
PETS,Healthcare,Pharmaceutical Retailers
PG,Consumer Defensive,Household & Personal Products
PFGC,Consumer Defensive,Food Distribution
PINS,Communication Services,Internet Content & Information
PGY,Technology,Software - Infrastructure
PKG,Consumer Cyclical,Packaging & Containers
PHM,Consumer Cyclical,Residential Construction
PL,Industrials,Aerospace & Defense
PLAB,Technology,Semiconductor Equipment & Materials
PLPC,Industrials,Electrical Equipment & Parts
PLNT,Consumer Cyclical,Leisure
PLTR,Technology,Software - Infrastructure
PLXS,Technology,Electronic Components
PLUG,Industrials,Electrical Equipment & Parts
PNR,Industrials,Specialty Industrial Machinery
PM,Consumer Defensive,Tobacco
POET,Technology,Semiconductors
PONY,Technology,Information Technology Services
POOL,Industrials,Industrial Distribution
POWI,Technology,Semiconductors
PPG,Basic Materials,Specialty Chemicals
POWL,Industrials,Electrical Equipment & Parts
PPTA,Basic Materials,Other Precious Metals & Mining
PRGS,Technology,Software - Infrastructure
PRIM,Industrials,Engineering & Construction
PRM,Basic Materials,Specialty Chemicals
PRMB,Consumer Defensive,Beverages - Non-Alcoholic
PSKY,Communication Services,Entertainment
PTRN,Technology,Software - Application
PTC,Technology,Software - Application
PUBM,Technology,Software - Application
PYPL,Financial Services,Credit Services
Q,Technology,Semiconductor Equipment & Materials
PWR,Industrials,Engineering & Construction
QCOM,Technology,Semiconductors
QBTS,Technology,Computer Hardware
QLYS,Technology,Software - Infrastructure
QMCO,Technology,Computer Hardware
QRVO,Technology,Semiconductors
QTWO,Technology,Software - Application
QUBT,Technology,Computer Hardware
QS,Consumer Cyclical,Auto Parts
QXO,Industrials,Industrial Distribution
RBA,Industrials,Specialty Business Services
RAL,Technology,Electronic Components
RBBN,Technology,Software - Application
RBLX,Communication Services,Electronic Gaming & Multimedia
RCI,Communication Services,Telecom Services
RCL,Consumer Cyclical,Travel Services
RBRK,Technology,Software - Infrastructure
RDW,Industrials,Aerospace & Defense
REAL,Consumer Cyclical,Luxury Goods
RELX,Industrials,Specialty Business Services
RDDT,Communication Services,Internet Content & Information
RELY,Technology,Software - Infrastructure
REYN,Consumer Cyclical,Packaging & Containers
REZI,Industrials,Industrial Distribution
RGLD,Basic Materials,Gold
RGTI,Technology,Computer Hardware
RIVN,Consumer Cyclical,Auto Manufacturers
RKLB,Industrials,Aerospace & Defense
RIO,Basic Materials,Other Industrial Metals & Mining
RHI,Industrials,Staffing & Employment Services
RMBS,Technology,Semiconductors
RMD,Healthcare,Medical Instruments & Supplies
RNG,Technology,Software - Application
ROG,Technology,Electronic Components
ROK,Industrials,Specialty Industrial Machinery
ROKU,Communication Services,Entertainment
ROP,Technology,Software - Application
RPM,Basic Materials,Specialty Chemicals
RPRX,Healthcare,Biotechnology
RR,Industrials,Specialty Industrial Machinery
RRX,Industrials,Specialty Industrial Machinery
RSG,Industrials,Waste Management
RTO,Industrials,Specialty Business Services
RUM,Communication Services,Internet Content & Information
RVLV,Consumer Cyclical,Internet Retail
RUN,Technology,Solar
RVMD,Healthcare,Biotechnology
RTX,Industrials,Aerospace & Defense
RVTY,Healthcare,Diagnostics & Research
RXO,Industrials,Trucking
RXRX,Healthcare,Biotechnology
RZLV,Technology,Software - Infrastructure
RYAAY,Industrials,Airlines
S,Technology,Software - Infrastructure
SAIA,Industrials,Trucking
SAIL,Technology,Software - Infrastructure
SA,Basic Materials,Gold
SATL,Industrials,Aerospace & Defense
SAP,Technology,Software - Application
SANM,Technology,Electronic Components
SBAC,Real Estate,REIT - Specialty
SATS,Communication Services,Telecom Services
SBH,Consumer Cyclical,Specialty Retail
SBRA,Real Estate,REIT - Healthcare Facilities
SBLK,Industrials,Marine Shipping
SCCO,Basic Materials,Copper
SCI,Consumer Cyclical,Personal Services
SBSW,Basic Materials,Other Precious Metals & Mining
SDGR,Healthcare,Health Information Services
SE,Consumer Cyclical,Internet Retail
SEDG,Technology,Solar
SFL,Industrials,Marine Shipping
SERV,Industrials,Specialty Industrial Machinery
SHEL,Energy,Oil & Gas Integrated
SFM,Consumer Defensive,Grocery Stores
SHMD,Unknown,Unknown
SGML,Basic Materials,Other Industrial Metals & Mining
SIDU,Unknown,Unknown
SIG,Unknown,Unknown
SIFY,Unknown,Unknown
SHLS,Unknown,Unknown
SIMO,Unknown,Unknown
SHW,Unknown,Unknown
SITM,Unknown,Unknown
SJM,Unknown,Unknown
SHOP,Unknown,Unknown
SKE,Unknown,Unknown
SLB,Unknown,Unknown
SLGN,Unknown,Unknown
SKM,Unknown,Unknown
SKYT,Unknown,Unknown
SLAB,Unknown,Unknown
SLDP,Unknown,Unknown
SMCI,Unknown,Unknown
SMG,Unknown,Unknown
SLNH,Unknown,Unknown
SMR,Unknown,Unknown
SMTC,Unknown,Unknown
SNOW,Unknown,Unknown
SNPS,Unknown,Unknown
SO,Unknown,Unknown
SNX,Unknown,Unknown
SNDR,Unknown,Unknown
SNDK,Unknown,Unknown
SNAP,Unknown,Unknown
SOLS,Unknown,Unknown
SONO,Unknown,Unknown
SONY,Unknown,Unknown
SON,Unknown,Unknown
SOUN,Unknown,Unknown
SQM,Unknown,Unknown
SRAD,Unknown,Unknown
SRE,Unknown,Unknown
SRFM,Unknown,Unknown
SSL,Unknown,Unknown
SPOT,Unknown,Unknown
SPIR,Unknown,Unknown
SSNC,Unknown,Unknown
SSRM,Unknown,Unknown
SSYS,Unknown,Unknown
ST,Unknown,Unknown
STGW,Unknown,Unknown
SPSC,Unknown,Unknown
STM,Unknown,Unknown
STNE,Unknown,Unknown
STNG,Unknown,Unknown
STLD,Unknown,Unknown
STLA,Unknown,Unknown
STRC,Unknown,Unknown
STUB,Unknown,Unknown
STZ,Unknown,Unknown
STX,Unknown,Unknown
SUNB,Unknown,Unknown
SWK,Unknown,Unknown
SUZ,Unknown,Unknown
SWKS,Unknown,Unknown
SW,Unknown,Unknown
SVM,Unknown,Unknown
SYM,Unknown,Unknown
SYK,Unknown,Unknown
SYY,Unknown,Unknown
SXC,Unknown,Unknown
SYNA,Unknown,Unknown
TBLA,Unknown,Unknown
T,Unknown,Unknown
TAL,Unknown,Unknown
TAP,Unknown,Unknown
TE,Unknown,Unknown
TEAM,Unknown,Unknown
TDC,Unknown,Unknown
TDS,Unknown,Unknown
TCOM,Unknown,Unknown
TECK,Unknown,Unknown
TER,Unknown,Unknown
TENB,Unknown,Unknown
TEX,Unknown,Unknown
TEM,Unknown,Unknown
TEL,Unknown,Unknown
TGT,Unknown,Unknown
TH,Unknown,Unknown
TIC,Unknown,Unknown
TFPM,Unknown,Unknown
TGB,Unknown,Unknown
TIGO,Unknown,Unknown
TKR,Unknown,Unknown
TJX,Unknown,Unknown
TKC,Unknown,Unknown
TLK,Unknown,Unknown
TMC,Unknown,Unknown
TMUS,Unknown,Unknown
TME,Unknown,Unknown
TMHC,Unknown,Unknown
TOL,Unknown,Unknown
TREX,Unknown,Unknown
TRI,Unknown,Unknown
TPR,Unknown,Unknown
TOST,Unknown,Unknown
TRMB,Unknown,Unknown
TRT,Unknown,Unknown
TRMD,Unknown,Unknown
TROX,Unknown,Unknown
TRUP,Unknown,Unknown
TSAT,Unknown,Unknown
TSM,Unknown,Unknown
TSEM,Unknown,Unknown
TSLA,Unknown,Unknown
TSN,Unknown,Unknown
TTAN,Unknown,Unknown
TTC,Unknown,Unknown
TSSI,Unknown,Unknown
TT,Unknown,Unknown
TTD,Unknown,Unknown
TTI,Unknown,Unknown
TTE,Unknown,Unknown
TTEK,Unknown,Unknown
TTMI,Unknown,Unknown
TTWO,Unknown,Unknown
TU,Unknown,Unknown
TXN,Unknown,Unknown
TWLO,Unknown,Unknown
TYL,Unknown,Unknown
UAMY,Unknown,Unknown
UBER,Unknown,Unknown
UAL,Unknown,Unknown
U,Unknown,Unknown
UEC,Unknown,Unknown
UL,Unknown,Unknown
ULS,Unknown,Unknown
UCTT,Unknown,Unknown
UI,Unknown,Unknown
ULTA,Unknown,Unknown
UNIT,Unknown,Unknown
UNH,Unknown,Unknown
UMC,Unknown,Unknown
UPBD,Unknown,Unknown
URBN,Unknown,Unknown
UPS,Unknown,Unknown
UNP,Unknown,Unknown
UPWK,Unknown,Unknown
USAS,Unknown,Unknown
URG,Unknown,Unknown
USAR,Unknown,Unknown
UROY,Unknown,Unknown
USFD,Unknown,Unknown
VC,Unknown,Unknown
VECO,Unknown,Unknown
USPH,Unknown,Unknown
UUUU,Unknown,Unknown
VALE,Unknown,Unknown
VERX,Unknown,Unknown
VIAV,Unknown,Unknown
VICR,Unknown,Unknown
VEEV,Unknown,Unknown
VELO,Unknown,Unknown
VLO,Unknown,Unknown
VISN,Unknown,Unknown
VIPS,Unknown,Unknown
VIV,Unknown,Unknown
VMC,Unknown,Unknown
VLTO,Unknown,Unknown
VOD,Unknown,Unknown
VNT,Unknown,Unknown
VNET,Unknown,Unknown
VOYG,Unknown,Unknown
VRRM,Unknown,Unknown
VRNS,Unknown,Unknown
VPG,Unknown,Unknown
VRSN,Unknown,Unknown
VRT,Unknown,Unknown
VSCO,Unknown,Unknown
VSAT,Unknown,Unknown
VRTX,Unknown,Unknown
VSH,Unknown,Unknown
VTR,Unknown,Unknown
VUZI,Unknown,Unknown
VSTS,Unknown,Unknown
VST,Unknown,Unknown
VYX,Unknown,Unknown
W,Unknown,Unknown
WAB,Unknown,Unknown
VZLA,Unknown,Unknown
VZ,Unknown,Unknown
WAT,Unknown,Unknown
WDAY,Unknown,Unknown
WB,Unknown,Unknown
WCN,Unknown,Unknown
WDC,Unknown,Unknown
WLK,Unknown,Unknown
WELL,Unknown,Unknown
WK,Unknown,Unknown
WERN,Unknown,Unknown
WLTH,Unknown,Unknown
WMS,Unknown,Unknown
WOLF,Unknown,Unknown
WMT,Unknown,Unknown
WM,Unknown,Unknown
WMB,Unknown,Unknown
WRD,Unknown,Unknown
WULF,Unknown,Unknown
WSC,Unknown,Unknown
WPM,Unknown,Unknown
WOOF,Unknown,Unknown
XMTR,Unknown,Unknown
WYFI,Unknown,Unknown
XENE,Unknown,Unknown
XE,Unknown,Unknown
XNDU,Unknown,Unknown
XOM,Unknown,Unknown
XXI,Unknown,Unknown
XPO,Unknown,Unknown
XPEV,Unknown,Unknown
XYL,Unknown,Unknown
YETI,Unknown,Unknown
XYZ,Unknown,Unknown
YELP,Unknown,Unknown
YUMC,Unknown,Unknown
Z,Unknown,Unknown
YMM,Unknown,Unknown
YOU,Unknown,Unknown
YSS,Unknown,Unknown
YSWY,Unknown,Unknown
ZETA,Unknown,Unknown
ZG,Unknown,Unknown
ZD,Unknown,Unknown
ZBRA,Unknown,Unknown
ZIM,Unknown,Unknown
ZTS,Unknown,Unknown
ZWS,Unknown,Unknown
ZM,Unknown,Unknown
ZS,Unknown,Unknown
ZTO,Unknown,Unknown
